   MOBILE_NAME     ,   APPLE_PRICE     ,   APPLE_RATING     ,   APPLE_FEATURES  
"APPLE iPhone 11 (Black, 128 GB)","₹40,990",4.6,"128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year"
"APPLE iPhone 11 (Purple, 128 GB)","₹40,990",4.6,"128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year"
"APPLE iPhone 11 (White, 128 GB)","₹41,990",4.6,"128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year"
"APPLE iPhone 11 (Black, 64 GB)","₹35,990",4.6,"64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year"
"APPLE iPhone 11 (White, 64 GB)","₹36,990",4.6,"64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year"
"APPLE iPhone 13 (Midnight, 128 GB)","₹57,990",4.6,"128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year"
"APPLE iPhone 11 (Red, 64 GB)","₹36,990",4.6,"64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year"
"APPLE iPhone 11 (Purple, 64 GB)","₹35,990",4.6,"64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year"
"APPLE iPhone 12 Mini (Blue, 64 GB)","₹38,990",4.5,"64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Industry-leading IP68 Water Resistance,All Screen OLED Display,12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording,Brand Warranty for 1 Year"
"APPLE iPhone 11 (Red, 128 GB)","₹40,990",4.6,"128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year"
"APPLE iPhone 12 Mini (White, 64 GB)","₹37,990",4.5,"64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Industry-leading IP68 Water Resistance,All Screen OLED Display,12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording,Brand Warranty for 1 Year"
"APPLE iPhone 11 (Green, 64 GB)","₹35,990",4.6,"64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty of 1 Year"
"APPLE iPhone 12 Mini (Black, 64 GB)","₹37,990",4.5,"64 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor,Ceramic Shield,Industry-leading IP68 Water Resistance,All Screen OLED Display,12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR Recording,Brand Warranty for 1 Year"
"APPLE iPhone 13 (Midnight, 256 GB)","₹66,990",4.6,"256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year"
"APPLE iPhone 13 (Starlight, 256 GB)","₹66,990",4.6,"256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year"
"APPLE iPhone 13 (Blue, 256 GB)","₹66,990",4.6,"256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,Brand Warranty for 1 Year"
